CsvPostID,BrandName,Title,Content,CoverImage,Visibility,Status
P000001,筆尖溫度,捕捉斜陽的溫度，調色盤上的午後時光,你曾感覺過色彩的溫度嗎？對我來說，那或許是某個無所事事的午後，灑落在木窗框上的那一抹暖黃。<br><br>今天的創作靈感，來自工作室那扇老窗。當夕陽斜斜地照進屋內，光影在牆上緩慢推移，那一瞬間的靜謐，讓我忍不住拿起了畫筆。我選用了清透的橙黃色與淡淡的赭石，讓水份在畫紙上自由暈染，試圖留住陽光逐漸消退前，最溫柔的那個片刻。水彩的魅力就在於它的不可預期，顏料與水的交融，就像是光與影的輕舞。<br><br>在日作市集的這方小天地裡，我時常收到客人說，看著這些畫作，彷彿時間也跟著慢了下來。這正是我希望透過「筆尖溫度」傳達的：在這個步伐匆忙的世界裡，我們都需要一個可以讓心稍作停歇的角落。這幅映著斜陽的窗景，願能為你的生活日常，注入一股安定的暖流。,001P1,Follower,Published
P000002,筆尖溫度,街角的寧靜，畫筆下那隻打盹的貓,有些幸福，是確定的，而且非常純粹。比如，在微涼的街角，遇見一隻蜷縮著身子、睡得正香甜的貓咪。<br><br>城市的節奏總是很快，但這隻街角的貓似乎擁有自己獨特的時區。看著牠隨著呼吸微微起伏的毛茸茸身軀，我感受到一種難以言喻的療癒感。這次的創作，我刻意放輕了筆觸，運用大量清透的水份與柔和的灰、暖棕色調，去描繪貓咪柔軟的毛髮和那份全然放鬆的姿態。我想捕捉的，不只是貓咪可愛的模樣，更是那種與世無爭的寧靜氛圍。<br><br>每一筆渲染，都是情感的延伸。我期待帶著這些療癒的風景與你們相遇。希望當你逛著市集，看見這隻打盹的貓時，嘴角能不自覺地上揚。帶一張畫回去吧，讓它在你房間的某個角落，持續為你散發著微小卻確定的幸福溫度。,001P2,Follower,Published
P000003,墨染時光,墨色與幾何的交錯，在留白中尋找現代的詩意,今天的工作桌上，鋪滿了剛裁好的宣紙。我正為接下來的市集準備新的手繪明信片。<br><br>當飽滿的筆尖落下，看著純粹的黑在紙纖維間緩緩暈開，那種傳統水墨獨有的寫意，總讓人感到平靜。但「墨染時光」想說的，不只是古典的靜謐。等墨跡半乾後，我換上另一種筆觸，畫下幾道俐落的幾何線條。一邊是隨性流動的水墨，一邊是精準理性的現代幾何，兩者在畫面上產生了強烈卻和諧的碰撞。<br><br>我不追求畫面的絕對對稱，反而特別迷戀那些墨色邊緣不規則的「手感」。在日作市集裡，我總能遇到懂得欣賞這份不完美的知音。每一張明信片，都是傳統美學與現代生活的一次對話，期盼能把這份獨特的平衡，連同如古詩般雋永的祝福，傳遞到你的手中。,002P1,Public,Published
P000004,墨染時光,宣紙上的時光刻度，手繪書籤裡的深邃意境,書籤，是夾在書頁裡的時光暫停鍵。而在我製作手繪書籤的過程中，也像是在紙上刻畫時間流動的痕跡。<br><br>調墨、下筆，看著水分的多寡決定了最終的濃淡層次。這過程就像是在進行一場小型的書法創作，每一次的落筆、每一道墨暈，都是獨一無二的相遇。水分的蒸發、墨色的沉澱，其實並不完全受我的控制，但這正是手作最迷人的地方。我們刻意捨棄了工業化生產的工整與完美，張開雙手擁抱每一張宣紙上獨特的姿態。<br><br>現代人的生活節奏往往太過急促，有時我們正需要一點古詩般的深邃與留白來喘口氣。帶著這些充滿手感溫度的書籤來到日作市集，我期待著它們能成為你閱讀時的寧靜陪伴。當你翻開書頁，看見那抹古典的墨跡，願你也能在時間的流動中，找到屬於自己的平衡與從容。,002P2,Public,Published
P000005,斑斕之境,畫布上的奇幻森林，用飽和色彩擊碎灰暗日常,你是否也曾覺得，日復一日的生活有時像是被抽乾了色彩？這幾天我將自己關在工作室，任由壓克力顏料在畫布上肆意流淌。這次的創作，我畫下了一座生長著螢光色蕨類與奇異斑紋巨獸的超現實森林。<br><br>「斑斕之境」的誕生，就是為了打破那份枯燥。我喜歡壓克力顏料那種厚實、充滿爆發力的質地，它能完美承載我腦海中那些大膽且瘋狂的想像。當你將這幅掛畫帶回房間，我希望它不僅僅是一件裝飾，而是一扇通往奇幻夢境的窗。在日作市集的攤位上，我期待這股強烈的視覺撞擊，能為不甘平凡的你，灌注源源不絕的生命力。,003P1,Public,Published
P000006,斑斕之境,掌心裡的狂想曲，手繪手機殼的視覺衝擊,如果現實世界太過規矩，那我們就隨身攜帶一個叛逆的夢吧。這週的創作重心，我放在了一系列的手繪手機殼上。<br><br>要在小小的手機殼上展現「斑斕之境」的超現實狂想，其實充滿挑戰。我運用了極度對比的撞色，描繪出突破常規的動植物輪廓。每一個手機殼都是獨一無二的，因為壓克力顏料堆疊出的厚度與筆觸，是機器無法複製的生命力。手機是我們每天凝視最久的物品，我希望當你在捷運上、辦公桌前滑著手機時，翻過面來，就能看見這份大膽的色彩。來逛逛日作市集吧，挑選一個專屬於你的斑斕角落，讓想像力在掌心中無限延伸。,003P2,Public,Published
P000007,紙上行旅,異國街角的咖啡香，保留速寫本裡的凌亂與真誠,身為一個旅行攝影師，我的鏡頭捕捉光影，但我的速寫本卻記錄著當下的溫度。<br><br>還記得那天在異國的一家老咖啡館，我點了一杯濃縮咖啡，隨手拿出鋼筆，快速勾勒著窗外的古典建築與匆匆行走的路人。沒有尺，沒有橡皮擦，只有簡單甚至有些凌亂的線條。「紙上行旅」的文具商品，正是從這些未經修飾的速寫草稿中誕生的。我刻意保留了那些畫錯的疊線，因為那是最真誠的旅途感觸。在日作市集裡，這些紙本創作安靜地陳列著，等待著懂它的人，一起感受那份來自異國街頭的隨性與自由。,004P1,Public,Published
P000008,紙上行旅,將跨越國境的微風，收進這方寸紙頁之間,旅行的意義，往往在於那些無法被打包帶走的空氣與風。這幾天，我正在整理過去幾趟旅行的速寫手稿，準備將它們轉化為下一批的紙本創作。<br><br>相較於攝影的寫實，我發現簡單的線條更能給予觀者想像的空間。我將那些曾讓我感動的建築輪廓與行人姿態，轉化為俐落的筆觸。這個將旅途感觸具象化的實驗室，每天都在發生著有趣的化學變化。當你撫摸著這些帶著手感溫度的紙品，我希望能傳遞給你一股跨越國境的微風。即使你此刻正坐在城市的某個辦公室裡，只要翻開「紙上行旅」，隨時都能開啟一場屬於自己的心靈旅行。,004P2,Public,Published
P000009,夢境調色盤,畫筆下的毛孩宇宙，為你的寶貝，留下一場溫柔的夢,你是否曾凝視過家中毛孩的眼睛？那裡頭沒有複雜的算計，只有純粹的信任與無條件的愛。在「夢境調色盤」，我們最珍視的就是這份清澈。<br><br>每一次接下寵物似顏繪的委託，都像是一場走進秘密花園的邀請。我們不只是描繪外觀的輪廓，更是用心感受照片裡傳遞的調皮、憨厚或是撒嬌的脾氣。透過軟綿綿的筆觸與柔和的色彩，我們將毛孩們化作童話裡的角色。這不僅僅是一幅畫，更是一個能讓你隨時躲進去汲取溫暖的避風港。當你感到疲憊時，看看畫中那個純真無邪的眼神，希望你能想起，在這個世界上，總有一個小小的靈魂全心全意地愛著你。,005P1,Public,Published
P000010,夢境調色盤,帶著童話去旅行，讓軟綿綿的色彩，治癒你的每一天,我們深信，無論長到多大，每個人的靈魂深處都始終住著一個渴望被擁抱的孩子。為了讓這份安全感能夠走出畫框，陪伴你經歷每一天的日常，「夢境調色盤」將那些療癒的插畫，輕輕印上了托特包與貼紙。<br><br>把貼紙貼在筆記本或電腦上，就像是在繁忙的工作中開了一扇通往童話的窗；揹上印有毛孩插畫的托特包出門，無論是通勤的捷運還是假日的街角，彷彿都有一個溫柔的夥伴與你同行。我們希望這些充滿愛與色彩的小物件，能成為你生活中的魔法陣。當你觸碰它們時，心中的那個孩子就能得到安撫，並帶著純粹的快樂，繼續在這個大人的世界裡勇敢前行。,005P2,Follower,Published
