ProductID,CreatorID,ProductName,Description,Price,CostPrice,StatusID,StockLevelType,AlertQty,SortOrder,CategoryIDs,TagIDs
P000000001,C00001,午后貓影水彩明信片,捕捉貓咪在窗邊打盹的溫暖瞬間，筆觸細膩。,150,30,2,normal,5,1,16,18|30|31
P000000002,C00001,森林微光手繪書籤,以透明水彩描繪森林深處的晨曦，附手工流蘇。,120,25,2,normal,5,1,16,18|30|38
P000000003,C00001,四季花卉貼紙包,包含 12 種不同季節的手繪花卉，防水防曬材質。,220,45,1,normal,5,1,16,29|30|32
P000000004,C00001,客製化寵物似顏繪 (A5),專業職人手繪，精確捕捉寵物的神韻與個性。,1200,200,2,normal,5,1,16,4|18|31
P000000005,C00001,晨間咖啡帆布袋,將手繪咖啡杯圖樣印製於厚磅帆布上，文青必備。,450,120,2,zero,5,1,16,29
P000000006,C00001,夢幻星空原創插畫 (A4),描繪充滿想像力的銀河，適合居家牆面裝飾。,850,150,2,normal,5,1,16,3|67
P000000007,C00001,手繪陶瓷咖啡杯,每一只杯子上的圖案皆為親手繪製，絕不重複。,680,180,2,normal,5,1,16,18|19|63
P000000008,C00002,禪意水墨掛軸,以現代技法呈現山水意境，適合簡約空間。,2500,600,2,normal,5,1,16,43|67
P000000009,C00002,墨跡和紙膠帶,融合書法線條與墨點的設計，增添手帳質感。,180,35,2,normal,5,1,16,30
P000000010,C00002,仿古手繪團扇,夏日消暑佳品，扇面手繪有清新的金魚戲水。,550,110,2,low,5,1,16,18
P000000011,C00002,墨香陶瓷吸水杯墊,墨水暈染效果與吸水陶瓷的完美結合。,250,50,2,normal,5,1,16,19|63
P000000012,C00002,現代書法裝飾框,簡約的一字書法，詮釋空間的寧靜感。,1200,250,2,normal,5,1,16,42|59|67
P000000013,C00003,壓克力流體畫 (30cm),繽紛色彩交織而成的抽象流動，極具現代感。,1800,300,2,normal,5,1,16,67
P000000014,C00003,奇幻森林手繪手機殼,壓克力彩繪質感，描繪發光植物與神祕生物。,750,150,2,normal,5,1,16,18|38|62
P000000015,C00003,抽象色彩筆記本,封面為壓克力重彩手繪，每一本都是藝術品。,480,90,2,normal,5,1,16,30
P000000016,C00003,色彩撞擊陶瓷托盤,兼具收納與裝飾功能，邊緣帶有金漆點綴。,950,220,2,normal,5,1,16,19|63
P000000017,C00003,夢境系列小油畫,木框裝裱，呈現具備厚度感的夢幻雲海。,1500,350,2,normal,5,1,16,67
P000000018,C00003,創意彩繪杯墊套組,一組四入，每片皆代表不同的色彩情緒。,600,120,2,normal,5,1,16,63
P000000019,C00004,城市速寫明信片組,紀錄倫敦、巴黎與東京的經典街景速寫。,350,60,2,normal,5,1,16,30
P000000020,C00004,旅人手感筆記本,牛皮紙質封面，適合紀錄旅途中的點滴心情。,380,80,2,low,5,1,16,30
P000000021,C00004,復古相機圖樣紙膠帶,收集了多款經典底片相機的插畫。,150,30,2,normal,5,1,16,30|36
P000000022,C00004,城市座標帆布袋,以極簡線條勾勒出特定城市的經緯度與地標。,520,130,2,normal,5,1,16,29
P000000023,C00004,速寫風陶瓷馬克杯,杯身帶有如鉛筆素描般的歐洲小鎮風景。,580,140,2,normal,5,1,16,19|63
P000000024,C00004,旅行地圖手繪掛畫,帆布材質，適合標記你曾經去過的足跡。,1800,400,2,normal,5,1,16,18|67
P000000025,C00004,座標印章組,包含多款與旅行相關的小圖案，手繪風格。,450,100,2,zero,5,1,16,30
P000000026,C00004,雲端上的明信片盒,精緻鐵盒裝，收錄了 20 張關於飛機窗景的畫作。,650,150,2,normal,5,1,16,30
P000000027,C00005,雲朵小羊陶瓷擺飾,造型軟萌，呈現如棉花糖般的輕盈視覺。,850,200,2,normal,5,1,16,19|59
P000000028,C00005,星空下的狐狸帆布包,夢幻的紫色系插畫，充滿童話感。,580,140,1,normal,5,1,16,29
P000000029,C00005,彩虹水滴手繪胸針,木質基底，手繪上繽紛的彩虹漸層色。,280,60,2,normal,5,1,16,18|62
P000000030,C00005,森林童話和紙貼紙,充滿夢幻氣息的動植物圖案，透明質感。,180,40,2,normal,5,1,16,30|38
P000000031,C00005,夢境世界裝飾畫,結合寵物與奇幻元素的畫作，溫暖療癒。,2200,500,2,low,5,1,16,67
P000000032,C00006,台灣檜木手工餐具組,淡淡檜木清香，手工打磨至極致細滑。,1200,350,2,normal,5,1,4,1|7|63
P000000033,C00006,胡桃木極簡面紙盒,全榫接工法，不使用任何金屬釘子。,1800,550,2,normal,5,1,4,7|34|59
P000000034,C00006,原木年輪杯墊,保留天然樹皮邊緣，展現原始森林美感。,250,60,2,normal,5,1,4,7|63
P000000035,C00006,手作木質沙拉碗,一體成型切削，器型圓潤且手感厚實。,2600,800,2,normal,5,1,4,7|63
P000000036,C00006,職人專用木製名片座,獨特的斜切設計，展現俐落的幾何線條。,650,180,2,normal,5,1,4,7|60
P000000037,C00006,森林氣息擴香木,搭配精油使用，讓原木毛細孔緩慢釋放香氣。,450,100,2,normal,5,1,4,7|38|76
P000000038,C00007,六角編織竹編提盤,傳統工法與現代幾何美學的結合。,1600,450,2,normal,5,1,4,7|20|29
P000000039,C00007,現代風竹編吊燈,透過編織縫隙灑下的光影極具氛圍感。,3500,900,2,normal,5,1,4,7|42|59
P000000040,C00007,文青風竹編隔熱墊,紮實的編織結構，耐熱且具防滑功能。,320,80,2,normal,5,1,4,7|48
P000000041,C00007,竹韻手作扇,輕巧耐用，是夏日裡的一抹清涼。,480,120,2,normal,5,1,4,7
P000000042,C00007,竹子造型擴香瓶,模擬竹節形狀的陶瓷瓶，搭配竹枝擴香棒。,1200,300,2,normal,5,1,4,7|76
P000000043,C00007,輕巧型竹編名片盒,隨身攜帶展現獨特職人品味。,550,150,2,normal,5,1,4,7|60
P000000044,C00008,原始邊緣原木邊桌,保留樹皮自然紋理，每件形狀皆獨一無二。,6800,2200,2,low,5,1,4,7|59
P000000045,C00008,隨形原木花器,根據木材天然空隙設計，內嵌玻璃試管。,1200,350,2,normal,5,1,4,7|59
P000000046,C00008,山岳造型木質書擋,仿造中央山脈稜線切割，展現山林的張力。,1500,400,2,normal,5,1,4,7|59
P000000047,C00008,森林回音擴音座,利用物理共鳴原理，無需插電即可放大音量。,1800,550,2,normal,5,1,4,38
P000000048,C00008,漂流木藝術壁掛,收集東海岸漂流木組合成的抽象牆面藝術。,3200,800,2,normal,5,1,4,7|67
P000000049,C00008,原木手感裁紙刀,握柄依人體工學切削，展現極致打磨手感。,650,150,2,normal,5,1,4,7
P000000050,C00009,微型森林辦公桌置物架,將文具與小盆栽結合的微縮景觀收納盒。,1450,420,2,normal,5,1,4,38|59
P000000051,C00009,磁吸式木質迴紋針座,內藏強力磁鐵，讓迴紋針像樹葉般吸附。,550,120,2,normal,5,1,4,30|42
P000000052,C00009,胡桃木精密鋼筆盒,極簡線條設計，內襯柔軟羊絨，保護筆身。,1200,380,2,normal,5,1,4,18|30
P000000053,C00009,微縮建築造型名片座,仿造北歐小房子設計，為桌面增添趣味。,480,110,2,normal,5,1,4,18|19|63
P000000054,C00009,幾何切面木質印章盒,獨特的稜角切面，展現俐落的現代感。,680,180,1,normal,5,1,4,3|30|36
P000000055,C00009,木質標籤標示牌 (一組),適合文博會或市集使用的精緻小木牌。,350,80,2,normal,5,1,4,18|29|38
P000000056,C00009,手機專用木質集線器,告別雜亂電線，讓充電桌面保持清爽。,580,140,2,normal,5,1,4,3|67
P000000057,C00009,掌中小木馬擺飾,療癒系的微型搖搖馬，手工精雕細琢。,850,220,2,normal,5,1,4,18|19|63
P000000058,C00010,輪年系列圓形茶几,桌面展現完整的年輪層次，象徵時間流逝。,8500,2800,2,low,5,1,4,67
P000000059,C00010,年輪美學托盤,精選橫截面木料，上漆後展現波光質感。,1500,450,2,normal,5,1,4,7|34|60
P000000060,C00010,時間軌跡壁鐘,無數字設計，僅保留木材天然的圓形年輪。,2800,900,2,normal,5,1,4,18|30|46
P000000061,C00010,輪年手工鋼筆,筆身採用百年古木，每一支皆有不同紋理。,3200,1100,2,normal,5,1,4,4|7|62
P000000062,C00010,幾何疊加木質杯墊,利用年輪深淺色差進行拼接的幾何圖樣。,450,120,2,normal,5,1,4,7|36|70
P000000063,C00011,極簡日和帆布托特包,厚磅日本帆布，大容量且結構紮實耐磨。,1280,400,2,normal,5,1,2,18|40
P000000064,C00011,職人二合一筆袋捲,展開式設計，可收納鋼筆與各種繪圖工具。,650,180,2,normal,5,1,2,38|59|76
P000000065,C00011,便攜式手作針線包,包含基礎工具，適合旅行中緊急修補。,480,120,2,normal,5,1,2,19|34|59
P000000066,C00011,防水內層便當袋,簡約格紋設計，內層具備防潑水易清功能。,550,150,2,normal,5,1,2,3|30
P000000067,C00011,刺繡姓名標籤訂製,運用電繡工法，為你的包袋增加專屬識別。,250,50,2,normal,5,1,2,9|17|60
P000000068,C00011,多隔層帆布收納盒,適合收納桌上的零星小物，維持空間整潔。,720,220,2,normal,5,1,2,1|7|63
P000000069,C00011,純棉帆布圍裙,職人感十足的設計，交叉背帶減輕頸部負擔。,1100,350,2,low,5,1,2,18|29
P000000070,C00012,法式碎花束口袋,經典小碎花布料，點綴精緻蕾絲邊飾。,380,90,2,normal,5,1,2,32|59
P000000071,C00012,手縫浪漫花朵髮帶,每一朵小花皆由手工縫製，甜美且優雅。,450,110,2,normal,5,1,2,10|34|60
P000000072,C00012,鄉村風刺繡抱枕,以花卉圖騰為主題，十字繡工藝精緻。,950,280,2,normal,5,1,2,18|19|63
P000000073,C00012,碎花拼接化妝包,結合不同花色的布料，呈現層次豐富的美感。,580,160,2,normal,5,1,2,7|37|67
P000000074,C00012,手工刺繡手帕禮盒,柔軟棉紗材質，角落繡有細小精緻的花卉。,320,70,2,normal,5,1,2,3|30|31
P000000075,C00013,古法藍染長巾,漸層染工法，如海洋般的深淺藍色交疊。,1850,550,2,normal,5,1,2,18|19|63
P000000076,C00013,雲染藝術布簾,模擬雲朵流動的紋理，為窗邊帶來靜謐感。,2200,700,2,normal,5,1,2,30|42
P000000077,C00013,藍染拼接拼布地墊,利用不同染度的殘布拼接，充滿藝術氣息。,3500,1200,2,normal,5,1,2,18|49|62
P000000078,C00013,夾染圓形坐墊,獨特的放射狀花紋，呈現幾何的對稱美感。,1200,380,1,low,5,1,2,9|30|36
P000000079,C00013,藍染手工提袋,結構簡約，重點在於布料迷人的色澤變化。,980,280,2,normal,5,1,2,1|15|38
P000000080,C00013,藍染布封口筆記本,封面為實體藍染布包裹，手感溫潤且獨特。,520,150,2,normal,5,1,2,3|67
P000000081,C00014,詩歌刺繡大口袋裙,在裙擺大口袋處繡有簡短詩句，文藝感十足。,2400,800,2,normal,5,1,2,4|18|19|31
P000000082,C00014,文學家主題束口袋,以世界名著為靈感，拼貼出意境圖像。,550,160,2,normal,5,1,2,7|35|59
P000000083,C00014,異材質拼接圍巾,融合蕾絲、雪紡與亞麻，展現如詩的層次。,1600,450,2,normal,5,1,2,18|30|68
P000000084,C00014,故事書造型收納包,外觀如同一本精裝書，內可收納文具或飾品。,850,240,2,normal,5,1,2,18|53
P000000085,C00014,手工縫製文字胸針,以黑線在白布上縫出具有溫度的手寫字體。,280,60,2,normal,5,1,2,1|9|29
P000000086,C00014,刺繡蕾絲裝飾桌巾,結合復古蕾絲與詩意的草葉刺繡。,1200,350,2,normal,5,1,2,25|38|59
P000000087,C00014,拼接藝術帆布掛畫,將詩句印製於布面上，搭配碎布拼貼裝飾。,1800,500,2,low,5,1,2,19|63
P000000088,C00014,溫柔告白面紙套,繡有簡約的心跳線條與暖心文字。,450,110,2,normal,5,1,2,18|29|36
P000000089,C00015,有機棉麻寬鬆上衣,親膚透氣的材質，大方俐落的剪裁。,2800,950,2,normal,5,1,2,43|76
P000000090,C00015,樸素色調棉麻圍裙,無印風色彩，適合日常料理或園藝使用。,1100,320,2,zero,5,1,2,7|42|59
P000000091,C00015,禪意素色茶席布,讓品茶時光回歸純淨，手感樸實自然。,750,220,2,normal,5,1,2,18|19|63
P000000092,C00015,有機棉束口收納袋,多種尺寸組，適合旅行時整理衣物。,680,180,2,normal,5,1,2,3|67
P000000093,C00015,素色棉麻抱枕套,觸感厚實且耐看，為空間注入平穩能量。,550,150,2,normal,5,1,2,20|29|39
P000000094,C00016,有機棉長耳朵兔兔偶,專為嬰兒設計，安全無毒且觸感極其柔軟。,1200,350,2,normal,5,1,22,19|32|46
P000000095,C00016,雲朵微笑安撫枕,造型圓潤，幫助孩子進入安穩夢鄉。,850,240,2,normal,5,1,22,14|18|30
P000000096,C00016,森林系刺蝟手偶,可與孩子互動的有趣手偶，增加親子時光。,650,180,1,normal,5,1,22,1|10|38|60
P000000097,C00016,柔軟大象抱抱偶,長長的象鼻與寬大的耳朵，極具安全感。,1500,450,2,normal,5,1,22,18|62|67
P000000098,C00016,睡夢中小熊布偶盒,包含一隻小熊與一條專屬的小毛毯。,1800,550,2,normal,5,1,22,7|42|63
P000000099,C00016,寶寶首選有機棉搖鈴偶,內置清脆鈴聲，吸引嬰兒注意力。,450,120,2,normal,5,1,22,18|29|49
P000000100,C00017,三眼怪奇毛絨偶,鮮豔撞色設計，擁有獨特的怪誕美感。,950,280,2,normal,5,1,22,4|18|93
P000000101,C00017,長腳搞怪獸掛飾,可掛於包包上，展現不凡的個性與幽默。,350,90,2,normal,5,1,22,3
P000000102,C00017,歪脖子大嘴怪枕頭,誇張的表情設計，是沙發上的視覺焦點。,1200,350,2,normal,5,1,22,3
P000000103,C00017,拼接感異材質怪獸,結合皮革、帆布與毛絨，手感層次分明。,1800,600,2,normal,5,1,22,3
P000000104,C00017,害羞怪奇布袋偶,手部有磁鐵設計，可以遮住眼睛或抱抱。,850,240,2,normal,5,1,22,29
P000000105,C00017,獨角變色龍公仔,採用亮片布料，隨角度變換色彩。,750,220,2,low,5,1,22,3
P000000106,C00017,搞怪表情組貼布繡,隨意熨燙在衣物上，打造自己的怪奇風。,280,60,2,normal,5,1,22,3
P000000107,C00018,擬真森林小鹿偶,細膩的斑點噴印與優雅的姿態設計。,2200,750,2,normal,5,1,22,38
P000000108,C00018,松鼠與橡實組,包含一隻蓬鬆尾巴的小松鼠與一顆布橡實。,950,280,2,normal,5,1,22,3
P000000109,C00018,森林貓頭鷹掛飾,翅膀帶有層層堆疊的布片，展現羽毛質感。,520,150,2,normal,5,1,22,31|38
P000000110,C00018,紅帽小狐狸玩偶,穿著紅色斗篷的可愛狐狸，宛如走進童話。,1200,350,2,normal,5,1,22,3
P000000111,C00018,森林精靈布娃娃,擁有花草點綴的髮絲，神祕而療癒。,1800,550,2,normal,5,1,22,38
