MemberID,CreatorID,BrandName,BrandIntro,StartDate,ApplicationOffsetDays,ReviewOffsetDays,ConfirmOffsetDays,BankCode,BankAccount
M0000003,C00001,筆尖溫度,「你曾感覺過色彩的溫度嗎？」我是創作者。對我而言，畫筆是情感的延伸。我擅長用清透的水彩渲染生活中細微而動人的瞬間，如映著斜陽的窗或街角打盹的貓。每件作品都承載一段確定的幸福，希望能透過溫潤筆觸，為你的角落妝點一抹療癒風景，讓忙碌的心能在這裡稍作停歇。,2025/9/10,20,3,2,,
M0000004,C00002,墨染時光,墨染時光致力於尋找古典美學與現代生活的平衡點。我們專注於手繪明信片與書籤，融合了傳統水墨的寫意與現代幾何的俐落。每一筆墨色在宣紙上暈開的層次，都是時間流動的痕跡。我們不追求極致的對稱，而是擁抱那份不完美的「手感」，讓傳遞出的每一份祝福，都具備如古詩般的深邃意境。,2025/9/25,20,3,2,,
M0000005,C00003,斑斕之境,踏入斑斕之境，就像誤入了一場奇幻森林的夢。創作者擅長以色彩飽和的壓克力顏料，描繪出超現實的動植物世界。我們的作品風格大膽且充滿生命力，從手繪手機殼到掛畫，都強調視覺的撞擊感。這裡適合不甘平凡的你，讓我們用最斑斕的色彩，打破日常的枯燥灰暗，為你的生活灌注源源不絕的想像力。,2025/7/24,20,3,2,,
M0000006,C00004,紙上行旅,我是一位旅行攝影師，也是一位速寫者。紙上行旅是我將旅途感觸具象化的實驗室。我習慣在異國的咖啡廳，用簡單的線條紀錄眼前的建築與行人。這些隨筆後來演變成了獨特的文具商品，保留了速寫時的凌亂與真誠。希望當你拿起這些作品時，也能感受到那股跨越國境的風，開啟一場屬於自己的心靈旅行。,2025/11/15,20,3,2,,
M0000007,C00005,夢境調色盤,這裡專門收納那些關於童話與寵物的溫柔夢想。我喜歡觀察毛孩們純真無邪的眼神，並將其化作軟綿綿的插畫。夢境調色盤不僅提供寵物似顏繪訂製，更將這些療癒的圖像開發成托特包與貼紙。我們相信，每個靈魂心底都住著一個孩子，而我的任務就是用色彩為那個孩子蓋一座充滿愛與安全感的秘密花園。,2025/9/2,20,3,2,,
M0000008,C00006,拾木工坊,我們是守護森林記憶的職人。拾木工坊堅持使用傳統榫接工法，完全不依賴金屬釘子，而是利用木材間的相互依託來創造結構。每一件器皿都經過無數次的手工打磨，直到展現出原木最溫潤的絲滑觸感。我們相信木頭是有生命的，它會隨著你的使用習慣產生光澤變化，成為家中最忠誠、最安靜的陪伴者。,2025/10/20,20,3,2,,
M0000009,C00007,竹跡日常,「誰說竹藝只能老派？」我們是一群熱愛在地素材的設計師。竹跡日常將台灣孟宗竹與現代編織幾何結合，打造出適合現代居家空間的燈飾與收納籃。竹材具備驚人的彈性與韌性，正如同我們對生活的態度。我們強調簡約、時尚與永續，讓這份傳統的清香能以更優雅的姿態，滲透進每個人的都會日常生活中。,2025/8/9,20,3,2,,
M0000010,C00008,山林之聲,我是山林之聲的創作者，我的工作室裡總是堆滿了帶有森林氣息的原木塊。我擅長保留木材的「自然邊緣」，不刻意修整那些樹皮或蟲洞，因為那正是大自然書寫的詩。我的作品多為原木雕刻擺件，每一件都獨一無二，無法複製。我希望透過作品將山林的靜謐帶回都市，讓你在觸摸木紋時，能聽見遠方山谷的呼喚。,2025/10/23,20,3,2,,
M0000011,C00009,微木森林,微木森林專注於「辦公桌上的微型風景」。我們將珍貴的胡桃木、櫻桃木縮小比例，精雕細琢成名片座、手機架與鋼筆盒。雖然尺寸微小，但細節處絕不妥協。我們追求的是一種職人的極致精準，希望能在方寸之間展現木材的肌理美學。讓你在繁忙的公務空檔，只要低頭看向桌面，就能擁有一片屬於自己的小森林。,2025/9/18,20,3,2,,
M0000012,C00010,輪年木作,輪年，代表著樹木的年輪，也象徵著生活的積累。我們走的是現代北歐風格，專攻實木家具與質感小家飾。我們選用獲永續認證的木料，強調線條的流暢與色彩的純粹。對我們而言，一件好的木作品不應該只是消耗品，而應該是能陪伴家庭成長的成員。輪年木作想傳達的，是一種慢下來、好好生活的生活哲學。,2025/10/4,20,3,2,,
M0000013,C00011,針線日常,大家好，我是針線日常的裁縫師。我對布料的觸感非常挑剔，工作室裡清一色是日本進口的厚磅帆布。我喜歡設計那些簡約、知性且耐用的提袋，沒有多餘的裝飾，只有紮實的縫線與實用的隔層。對我來說，布包不只是配件，更是盛裝生活的容器。希望我的作品能陪你走過許多街頭，越用越有屬於你的生活味。,2025/7/28,20,3,2,,
