ReviewID,Rating,Comment,CreatedAt,UpdatedAt,MemberID,OrderID,ProductID
1,5,,2026-01-22 00:57:00,,M0000018,202601040001,P000000028
2,4,設計很可愛，收到心情很好。,2026-01-17 01:05:00,,M0000018,202601090001,P000000028
3,5,細節比預期更精緻，很有收藏感。,2026-01-23 19:12:00,,M0000131,202601150001,P000000027
4,5,,2026-02-06 13:57:00,,M0000151,202601210001,P000000027
5,5,細節比預期更精緻，很有收藏感。,2026-02-15 21:53:00,,M0000159,202602010001,P000000028
6,4,包裝用心，商品也很完整。,2026-02-14 07:27:00,,M0000120,202602010002,P000000029
7,4,整體很不錯，和預期差不多。,2026-02-19 10:12:00,,M0000122,202602040001,P000000027
8,5,送禮很有面子，朋友也很喜歡。,2026-02-19 01:57:00,,M0000114,202602090001,P000000028
9,5,收到後很驚喜，質感很好。,2026-02-28 14:29:00,,M0000175,202602120001,P000000031
10,5,送禮很有面子，朋友也很喜歡。,2026-02-23 12:12:00,,M0000122,202602120002,P000000027
11,5,實品比照片更療癒，包裝也很細心。,2026-03-05 09:12:00,,M0000018,202602150001,P000000027
12,5,色彩很溫柔，擺在桌上很有氛圍。,2026-03-04 08:33:00,,M0000098,202602170001,P000000028
13,5,,2026-03-05 07:33:00,,M0000049,202602190001,P000000028
14,5,色彩很溫柔，擺在桌上很有氛圍。,2026-03-07 13:22:00,,M0000049,202602200001,P000000030
15,5,實品比照片更療癒，包裝也很細心。,2026-03-08 14:27:00,,M0000104,202602210001,P000000029
16,5,,2026-03-10 08:25:00,,M0000040,202602240001,P000000028
17,5,送禮很有面子，朋友也很喜歡。,2026-03-14 04:05:00,,M0000049,202603030001,P000000027
18,5,,2026-03-17 01:18:00,,M0000151,202603040001,P000000029
19,4,整體很不錯，和預期差不多。,2026-03-19 14:41:00,,M0000131,202603060001,P000000030
20,3,,2026-03-16 05:12:00,,M0000198,202603070001,P000000027
21,5,很喜歡這次的設計，會想再回購。,2026-03-22 02:41:00,,M0000018,202603080001,P000000028
22,5,細節比預期更精緻，很有收藏感。,2026-03-24 06:46:00,,M0000049,202603090001,P000000028
23,5,細節比預期更精緻，很有收藏感。,2026-03-21 15:12:00,,M0000018,202603100001,P000000031
24,5,細節比預期更精緻，很有收藏感。,2026-03-24 06:26:00,,M0000122,202603100003,P000000028
25,5,很喜歡這次的設計，會想再回購。,2026-03-22 02:41:00,,M0000120,202603110001,P000000027
26,5,,2026-03-21 07:18:00,,M0000008,202603120001,P000000031
27,5,色彩很溫柔，擺在桌上很有氛圍。,2026-03-27 12:12:00,,M0000098,202603120002,P000000027
28,5,,2026-03-29 23:41:00,,M0000122,202603130001,P000000027
29,4,包裝用心，商品也很完整。,2026-03-24 10:52:00,,M0000159,202603140002,P000000031
30,5,,2026-03-22 07:05:00,,M0000018,202603160002,P000000027
31,5,色彩很溫柔，擺在桌上很有氛圍。,2026-03-27 18:36:00,,M0000049,202603170001,P000000031
32,5,收到後很驚喜，質感很好。,2026-03-31 08:33:00,,M0000163,202603170002,P000000028
33,5,,2026-04-02 08:29:00,,M0000157,202603170003,P000000028
34,3,整體可以，若細節再精緻一點更好。,2026-03-27 21:12:00,,M0000040,202603180003,P000000030
35,5,,2026-03-31 04:32:00,,M0000151,202603190002,P000000029
36,3,,2026-04-02 13:53:00,,M0000131,202603190003,P000000027
37,5,送禮很有面子，朋友也很喜歡。,2026-04-04 03:06:00,,M0000099,202603200001,P000000028
38,5,實品比照片更療癒，包裝也很細心。,2026-04-04 13:52:00,,M0000018,202603200002,P000000028
39,4,整體很不錯，和預期差不多。,2026-03-28 01:48:00,,M0000151,202603200003,P000000027
40,5,色彩很溫柔，擺在桌上很有氛圍。,2026-04-04 08:27:00,,M0000104,202603210001,P000000028
41,5,很喜歡這次購買的作品。,2026-01-07 01:33:00,,M0000013,202601010001,P000000138
42,5,,2026-01-22 21:52:00,,M0000181,202601080001,P000000793
43,1,這次購買體驗比較可惜。,2026-01-30 13:46:00,,M0000090,202601160001,P000000245
44,2,普通，沒有想像中驚喜。,2026-01-24 10:40:00,,M0000089,202601160002,P000000017
45,5,質感很好，值得回購。,2026-02-08 07:05:00,,M0000140,202601190001,P000000721
46,5,質感很好，值得回購。,2026-02-11 10:18:00,,M0000149,202601220001,P000000165
47,5,很喜歡這次購買的作品。,2026-02-20 08:05:00,,M0000021,202602020001,P000000168
48,5,,2026-02-22 05:18:00,,M0000067,202602080001,P000000286
49,1,,2026-03-07 15:22:00,,M0000059,202602210002,P000000458
50,5,質感很好，值得回購。,2026-03-24 13:52:00,,M0000163,202603110004,P000000787
51,5,質感很好，值得回購。,2026-03-30 07:22:00,,M0000090,202603140003,P000000499
